length_days,tank,species,correct_id,unique_id,f.weight,i.weight,CSA_cm2,data_quality,wound_raw,growth.g,growth.percm2,treatment
38,No Fish B,Porites,3S,3SP,24.17041175,22.72242843,20.7772299367386,NA,not wounded,1.4479833199999987,0.06969087430849738,no fish
38,No Fish B,Porites,11S,11SP,26.69288815,26.43402959,18.059244957834,NA,not wounded,0.2588585600000002,0.014333852860648462,no fish
38,No Fish B,Porites,10C,10CP,22.09542205,21.29949449,18.172719479816124,NA,not wounded,0.7959275599999991,0.043797933539006705,no fish
38,No Fish B,Porites,26,26P,18.03279451,17.99773514,15.189960616286568,NA,wounded,0.035059369999999035,0.002308061942070385,no fish
38,No Fish B,Acropora,26,26A,12.3533914,11.59990486,24.000446715896814,NA,not wounded,0.753486539999999,0.03139468814557204,no fish
38,No Fish B,Porites,7,7P,13.87055521,13.58464444,8.270716549711388,NA,not wounded,0.2859107699999992,0.034569044686941455,no fish
38,Fish B,Acropora,7,7A,9.07440735,8.5575585,13.087980185284804,NA,not wounded,0.5168488499999988,0.039490344780710084,fish
38,No Fish B,Porites,37,37P,28.28361142,26.7026525,22.106502908528896,NA,wounded,1.5809589200000005,0.0715155593149042,no fish
38,Fish A,Acropora,37,37A,7.84900873,7.36180279,12.277447885412673,NA,wounded,0.48720594000000084,0.03968299800961645,fish
38,No Fish B,Porites,14S,14SP,18.98600248,18.55186584,16.573269074734974,NA,wounded,0.4341366399999984,0.026194991346747368,no fish
38,No Fish B,Porites,4,4P,23.26011346,22.61958423,21.698534984259904,NA,wounded,0.6405292299999985,0.029519468962519255,no fish
38,No Fish B,Acropora,4,4A,10.08224315,8.83999631,29.139221497086247,NA,not wounded,1.24224684,0.042631435439145736,no fish
38,No Fish B,Porites,29,29P,20.22578584,19.65705725,-6.526901471621131,NA,wounded,0.5687285899999992,-0.08713607712217236,no fish
38,No Fish B,Porites,31,31P,16.09113133,15.47881972,33.351287682088476,NA,not wounded,0.612311609999999,0.01835945933592378,no fish
38,No Fish B,Acropora,31,31A,8.96046142,7.90979354,23.85184912758693,NA,not wounded,1.0506678799999998,0.044049745341748055,no fish
38,No Fish B,Acropora,17,17A,8.60952151,7.81462427,10.391609401043459,NA,wounded,0.7948972400000001,0.07649414150614452,no fish
38,Fish A,Porites,1,1P,28.45169571,26.4063998,27.20204930039182,NA,not wounded,2.04529591,0.07518903768660325,fish
38,No Fish B,Acropora,1,1A,8.41336295,8.13083182,9.94311486178086,NA,wounded,0.28253113000000063,0.02841475070211529,no fish
38,No Fish B,Acropora,18,18A,8.0547606,7.05634017,14.182198790112244,NA,not wounded,0.9984204299999995,0.07039955121035908,no fish
