coral_id,date_collected,date_fragment,fish,wound,tank,wound_size_final,percent healed,initial_wound_size_cm,healing_rate,time_healing_days
48,20240808,20240808,1,1,1,0,100,1.531,0.0729047619,21
61,20240808,20240808,1,1,1,0,100,1.073,0.0510952381,21
62,20240808,20240808,1,1,1,0,100,1.572,0.07485714286,21
96,20240808,20240809,1,1,1,0,100,2.598,0.1237142857,21
55,20240808,20240808,0,1,2,0,100,1.213,0.05776190476,21
89,20240808,20240808,0,1,2,0.029,98.08327826,1.513,0.07066666667,21
95,20240808,20240809,0,1,2,2.089,-104.8039216,1.02,-0.0509047619,21
115,20240808,20240809,0,1,2,0,100,1.389,0.06614285714,21
72,20240808,20240808,1,1,3,0,100,1.895,0.09023809524,21
106,20240808,20240809,1,1,3,0.007,99.61977186,1.841,0.08733333333,21
114,20240808,20240808,1,1,3,0,100,1.097,0.05223809524,21
122,20240808,20240809,1,1,3,0,100,2.124,0.1011428571,21
104,20240808,20240809,0,1,4,0.092,92.87374129,1.291,0.0570952381,21
105,20240808,20240809,0,1,4,0.164,89.85148515,1.616,0.06914285714,21
124,20240808,20240809,0,1,4,0.097,89.85355649,0.956,0.0409047619,21
129,20240808,20240808,0,1,4,0,100,0.774,0.03685714286,21
91,20240808,20240808,1,1,5,0.271,82.98807282,1.593,0.06295238095,21
100,20240808,20240809,1,1,5,0,100,1.561,0.07433333333,21
101,20240808,20240809,1,1,5,0.006,99.56140351,1.368,0.06485714286,21
116,20240808,20240809,1,1,5,0.026,98.5823337,1.834,0.0860952381,21
47,20240808,20240809,0,1,6,0,100,1.257,0.05985714286,21
76,20240808,20240808,0,1,6,0.407,69.76225854,1.346,0.04471428571,21
80,20240808,20240808,0,1,6,0,100,1.284,0.06114285714,21
87,20240808,20240808,0,1,6,0,100,1.326,0.06314285714,21
45,20240808,20240808,1,2,1,0,100,4.674,0.2225714286,21
107,20240808,20240809,1,2,1,0,100,3.593,0.1710952381,21
109,20240808,20240809,1,2,1,0.213,92.44144784,2.818,0.124047619,21
126,20240808,20240809,1,2,1,0,100,3.363,0.1601428571,21
58,20240808,20240808,0,2,2,0.417,89.74926254,4.068,0.1738571429,21
59,20240808,20240808,0,2,2,0,100,4.052,0.192952381,21
111,20240808,20240809,0,2,2,1.064,44.4386423,1.915,0.04052380952,21
121,20240808,20240809,0,2,2,2.437,11.18804665,2.744,0.01461904762,21
56,20240808,20240808,1,2,3,0.575,85.87570621,4.071,0.1664761905,21
113,20240808,20240809,1,2,3,0,100,3.443,0.163952381,21
123,20240808,20240809,1,2,3,0.166,95.52922165,3.713,0.1689047619,21
127,20240808,20240809,1,2,3,0,100,4.745,0.225952381,21
69,20240808,20240808,0,2,4,0.757,79.19186366,3.638,0.1371904762,21
71,20240808,20240808,0,2,4,0.05,98.56651376,3.488,0.1637142857,21
97,20240808,20240809,0,2,4,0.097,97.40085745,3.732,0.1730952381,21
103,20240808,20240809,0,2,4,0.279,88.95486936,2.526,0.107,21
75,20240808,20240808,1,2,5,0,100,6.188,0.2946666667,21
99,20240808,20240809,1,2,5,0,100,6.277,0.2989047619,21
110,20240808,20240809,1,2,5,0,100,5.205,0.2478571429,21
119,20240808,20240809,1,2,5,0.372,91.83852567,4.558,0.1993333333,21
50,20240808,20240808,0,2,6,0,100,3.001,0.1429047619,21
65,20240808,20240808,0,2,6,0.705,70,2.35,0.07833333333,21
79,20240808,20240808,0,2,6,0,100,3.624,0.1725714286,21
130,20240808,20240809,0,2,6,0.067,98.239159,3.805,0.178,21
