date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish
initial,45,13.2648,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,45,22.3184,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,47,18.4507,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,47,18.8878,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,Fish
initial,48,11.6562,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,48,11.9652,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,49,25.431,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,49,25.7952,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,50,18.5264,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,50,18.8545,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
initial,55,19.6786,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,55,20.1443,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,56,16.5499,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,56,16.7716,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,58,23.699,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,58,24.0038,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,59,8.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,59,8.3964,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,61,15.787,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,61,16.0282,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,62,28.0579,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,62,28.2616,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,63,18.0895,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,63,18.2528,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,Fish
initial,64,23.3828,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,64,23.7352,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,65,11.4403,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,65,11.6777,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,No Fish
initial,67,17.4388,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,67,17.4904,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,69,19.3335,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,69,19.6644,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,71,18.1131,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,71,18.4238,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,72,12.9396,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,72,13.1135,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,74,17.1065,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,74,17.4081,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,Fish
initial,75,22.4389,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,75,22.6725,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,Fish
initial,76,15.5383,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,76,15.8819,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
initial,77,14.2784,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,77,14.5675,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,Fish
initial,78,20.9292,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,78,21.1622,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
initial,79,16.4708,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,79,16.7479,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,No Fish
initial,80,14.9715,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,80,15.229,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
initial,81,14.7209,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
