coral_id,f0,fm,fv_fm,wound,fish,tank,initial_wound_size,algae
130,306,884,653,Large,No Fish,6,3.805,no
127,402,1325,696,Large,Fish,3,4.745,no
126,393,1307,699,Large,Fish,1,3.363,no
124,297,917,676,Small,No Fish,4,0.956,no
123,298,927,678,Large,Fish,3,3.713,no
122,333,1026,675,Small,Fish,3,2.124,no
121,142,344,587,Large,No Fish,2,2.744,yes
119,282,961,706,Large,Fish,5,4.558,no
116,387,1117,653,Small,Fish,5,1.834,no
115,208,683,673,Small,No Fish,2,1.389,no
114,344,1108,689,Small,Fish,3,1.097,no
113,363,1139,681,Large,Fish,3,3.443,no
111,143,367,601,Large,No Fish,2,1.915,yes
110,452,1435,685,Large,Fish,5,5.205,no
109,500,1489,664,Large,Fish,1,2.818,no
107,356,1091,673,Large,Fish,1,3.593,no
106,306,1009,696,Small,Fish,3,1.841,no
105,116,431,614,Small,No Fish,4,1.616,no
104,119,311,617,Small,No Fish,4,1.291,no
103,285,777,633,Large,No Fish,4,2.526,yes
101,571,1847,690,Small,Fish,5,1.368,no
100,373,1227,696,Small,Fish,5,1.561,no
99,437,1352,676,Large,Fish,5,6.277,no
97,216,596,637,Large,No Fish,4,3.732,no
96,371,1234,696,Small,Fish,1,2.598,no
95,147,382,615,Large,No Fish,2,1.02,yes
91,189,420,550,Small,No Fish,5,1.593,yes
89,191,569,664,Small,No Fish,2,1.513,no
87,447,1458,693,Small,No Fish,6,1.326,no
80,250,821,695,Small,No Fish,6,1.284,no
79,321,973,670,Large,No Fish,6,3.624,no
78,220,691,681,Small,No Fish,6,1.346,no
75,377,1203,686,Large,Fish,5,6.188,no
72,262,829,683,Small,Fish,3,1.895,no
71,99,229,567,Large,No Fish,4,3.488,no
69,90,262,656,Large,No Fish,4,3.638,yes
65,244,745,672,Large,No Fish,6,2.35,no
62,289,887,674,Small,Fish,1,1.572,no
61,550,1582,652,Small,Fish,1,1.073,no
59,278,873,681,Large,No Fish,2,4.052,no
58,118,316,626,Large,No Fish,2,4.068,yes
56,244,615,603,Small,Fish,3,4.071,yes
55,241,766,685,Large,Fish,2,1.213,no
50,353,1052,664,Small,No Fish,6,3.001,no
48,382,1277,700,Small,No Fish,1,1.531,no
47,241,756,681,Small,Fish,6,1.257,no
45,304,965,684,Large,Fish,1,4.674,no
