coral_id,wax1_weight_g,wax2_weight_g,wax_diff,SA_coral,SA_cal,notes,notes
59,14.44,15.04,0.59,34.47,,,
124,33.07,35.03,1.97,97.74,,,
95,32.41,34.08,1.67,84.24,,,
121,25.14,26.99,1.84,92.08,,,
87,24,25.38,1.38,70.79,,,
47,33.19,35.07,1.88,93.64,,,
55,35.06,37.38,2.32,114.01,,,
105,29.13,31.04,1.92,95.44,,,
109,21.6,22.55,0.95,50.83,,,
126,21.84,22.84,1.01,53.46,,,
62,49.76,53.11,3.35,161.34,,tank1 small wound,
97,34.53,36.55,2.02,100.33,,,
107,19.46,20.43,0.97,51.8,,,
45,23.6,25.21,1.61,81.25,,,
48,20.93,22.07,1.15,60,,,
116,23.33,24.54,1.22,63.18,,,
90,27.98,29.66,1.68,84.43,,,
115,42.54,45.33,2.78,135.3,,,
89,20.51,21.68,1.18,61.29,,,
111,21.47,22.42,0.95,50.88,,,
118,18.76,19.67,0.91,49.27,,,
103,14.59,25.83,11.24,524.93,,,
88,26.87,28.34,1.47,75.03,,,
78,37.3,39.89,2.59,126.5,,,
104,23.27,24.62,1.35,69.45,,,
67,30.98,32.68,1.7,85.3,,,
91,16.77,17.53,0.76,41.98,,,
56,29.57,31.45,1.87,93.46,,,
96,18.75,19.52,0.77,42.54,,,
83,19.81,19.81,0,7.01,,,
72,23.44,24.7,1.26,64.98,,,
106,26.42,28.93,2.51,122.58,,#NAME?,
63,32.24,34.11,1.87,93.18,,,
46,37.93,39.79,1.87,93.09,,,
122,32.8,34.59,1.79,89.63,,-122?,
127,32.49,34.4,1.91,95.12,,,
80,26.07,27.58,1.51,76.59,,,
77,25.95,27.35,1.4,71.71,,,
125,20.8,21.71,0.91,49.08,,,
69,33.32,34.94,1.62,81.57,,,
98,29.46,31.28,1.81,90.56,,,
71,32.82,34.53,1.71,85.95,,,
110,34.23,36.9,2.67,130.19,,#NAME?,
49,45.5,48.25,2.75,133.87,,,
61,27.36,28.76,1.4,71.57,,,
86,27.65,29.31,1.66,83.78,,,
119,26.42,27.76,1.33,68.57,,,
75,40.48,43.04,2.56,124.89,,,
99,18.78,19.53,0.75,41.62,,,
113,31.48,33.03,1.55,78.57,,,
117,19.87,20.67,0.8,43.97,,,
58,42.11,44.69,2.58,126.09,,,
50,32.03,33.64,1.61,81.06,,,
130,23.46,24.48,1.02,54.2,,,
74,30.14,32.28,2.14,105.58,,,
123,21.33,22.27,0.93,50.19,,,
81,26.59,28.04,1.44,73.55,,,
64,39.97,42.25,2.27,111.8,,,
85,19.26,20.11,0.86,46.5,,,
114,14,14.54,0.54,31.94,,,
102,20.55,21.62,1.07,56.55,,,
84,24.04,25.43,1.39,71.15,,,
65,19.97,20.88,0.91,49.08,,,
79,28.53,30.05,1.51,76.78,,,
101,28.74,30.2,1.46,74.2,,,
100,16.8,17.57,0.77,42.77,,,
129,13.52,14.37,0.85,46.04,,"fell off in bleach; could be 129,120,76,112,128,108",
112,16.87,17.89,1.02,54.06,,"fell off in bleach; could be 129,120,76,112,128,108",
108,32.03,34.36,2.33,114.29,,"fell off in bleach; could be 129,120,76,112,128,108",
76,21.43,23.35,1.91,95.16,,"fell off in bleach; could be 129,120,76,112,128,108",
120,32.55,34.77,2.22,109.45,,"fell off in bleach; could be 129,120,76,112,128,108",
128,16.98,18.12,1.14,59.68,,"fell off in bleach; could be 129,120,76,112,128,108",
