date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish
20240813,45,13.2648,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
20240901,45,22.3184,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
20240813,47,18.4507,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
20240901,47,18.8878,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,Fish
20240813,48,11.6562,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
20240901,48,11.9652,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,No Fish
20240813,49,25.431,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
20240901,49,25.7952,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
20240813,50,18.5264,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
20240901,50,18.8545,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,No Fish
20240813,55,19.6786,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
20240901,55,20.1443,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
20240813,56,16.5499,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
20240901,56,16.7716,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
20240813,58,23.699,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
20240901,58,24.0038,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
20240813,59,8.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
20240901,59,8.3964,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
20240813,61,15.787,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
20240901,61,16.0282,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
20240813,62,28.0579,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
20240901,62,28.2616,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
