coral_id,date_collected,date_fragment,fish,wound,tank ,notes,wound_close,necrosis
45,20240808,20240808,1,2,1,tank 1 all wounds closed,yes,
48,20240808,20240808,1,1,1,,yes,
61,20240808,20240808,1,1,1,,yes,
62,20240808,20240808,1,1,1,,yes,
128,20240808,20240808,1,0,1,128 subbed out 89,,
90,20240808,20240808,1,0,1,,,
96,20240808,20240809,1,1,1,,yes,
107,20240808,20240809,1,2,1,,yes,
108,20240808,20240809,1,0,1,,,
109,20240808,20240809,1,2,1,,yes,
118,20240808,20240809,1,0,1,,,
126,20240808,20240809,1,2,1,,yes,
49,20240808,20240808,0,0,2,,,
55,20240808,20240808,0,1,2,,yes,yes
58,20240808,20240808,0,2,2,,no,
59,20240808,20240808,0,2,2,,yes,
67,20240808,20240808,0,0,2,,,
78,20240808,20240808,0,0,2,,,
53,20240808,20240808,0,1,2,53 subbed out 82,,
88,20240808,20240808,0,0,2,,,yes
95,20240808,20240809,0,1,2,this is the right 95,no,yes
111,20240808,20240809,0,2,2,,no,yes
115,20240808,20240809,0,1,2,,yes,yes
121,20240808,20240809,0,2,2,,no,yes
46,20240808,20240808,1,0,3,,,
72,20240808,20240808,1,1,3,72 subbed out 51,,
56,20240808,20240808,1,2,3,,no,
60,20240808,20240808,1,1,3,60 subbed out 66,,
77,20240808,20240808,1,0,3,,,idk where but 114 is fully healed. 
81,20240808,20240808,1,0,3,,,
106,20240808,20240809,1,1,3,,no,
113,20240808,20240809,1,2,3,,yes,
122,20240808,20240809,1,1,3,,yes,
123,20240808,20240809,1,2,3,,,
125,20240808,20240809,1,0,3,,,
127,20240808,20240809,1,2,3,,,
129,20240808,20240808,0,1,4,129 subbed out 47,yes,
64,20240808,20240808,0,0,4,,,
69,20240808,20240808,0,2,4,,no,
71,20240808,20240808,0,2,4,,no-barely,yes
84,20240808,20240808,0,0,4,,,
85,20240808,20240808,0,0,4,,,
97,20240808,20240809,0,2,4,,yes,yes
103,20240808,20240809,0,2,4,,,yes
104,20240808,20240809,0,1,4,,no-barely,
105,20240808,20240809,0,1,4,,,
112,20240808,20240809,0,0,4,,,yes
124,20240808,20240809,0,1,4,,,
74,20240808,20240808,1,0,5,74 subbed out 52,,
57,20240808,20240808,1,1,5,57 is now 91,yes,
63,20240808,20240808,1,0,5,63 subbed out 70,,yes
75,20240808,20240808,1,2,5,,yes,
99,20240808,20240809,1,2,5,,yes,
100,20240808,20240809,1,1,5,,yes,
101,20240808,20240809,1,1,5,,yes,
102,20240808,20240809,1,0,5,,,
110,20240808,20240809,1,2,5,,yes,
116,20240808,20240809,1,1,5,,yes,
119,20240808,20240809,1,2,5,,no,
120,20240808,20240809,1,0,5,,,
50,20240808,20240808,0,2,6,,no - barely,
65,20240808,20240808,0,2,6,,yes,yes
76,20240808,20240808,0,1,6,,no,- got crazy worms all up in that wound biz - confounding?
79,20240808,20240808,0,2,6,,yes,
80,20240808,20240808,0,1,6,,yes,
83,20240808,20240808,0,0,6,,,
86,20240808,20240808,0,0,6,,,
87,20240808,20240808,0,1,6,,yes,
98,20240808,20240809,0,0,6,,,
117,20240808,20240809,0,0,6,,,
130,20240808,20240809,0,2,6,,yes,
47,20240808,20240809,0,1,6,,yes,
