treatment,day,percent_healed,coral_id,wound_size
fish,1,5.05,56,large
fish,2,10.75,56,large
fish,3,20.95,56,large
fish,4,39.02,56,large
fish,5,55.49,56,large
fish,6,57.81,56,large
fish,7,61.08,56,large
fish,8,63.35,56,large
fish,9,66.72,56,large
fish,10,68.05,56,large
fish,11,,56,large
fish,12,70.49,56,large
fish,13,72.25,56,large
fish,14,72.91,56,large
fish,15,73.28,56,large
fish,16,73.91,56,large
fish,17,74.21,56,large
fish,18,74.67,56,large
fish,19,74.87,56,large
fish,20,75.01,56,large
no_fish,1,3.57,72,large
no_fish,2,6.41,72,large
no_fish,3,12.02,72,large
no_fish,4,20.24,72,large
no_fish,5,32.01,72,large
no_fish,6,36.25,72,large
no_fish,7,45,72,large
no_fish,8,52.7,72,large
no_fish,9,59.58,72,large
no_fish,10,63.19,72,large
no_fish,11,64.87,72,large
no_fish,12,65.74,72,large
no_fish,13,65.53,72,large
no_fish,14,66.62,72,large
no_fish,15,67.8,72,large
no_fish,16,68.02,72,large
no_fish,17,68.92,72,large
no_fish,18,69.55,72,large
no_fish,19,,72,large
no_fish,20,70.2,72,large
